event_timestamp,retrieved_at,symbol,side,level,price,volume,source,collector_session_id,rotation_group,generation,subscription_started_at
,2026-09-22T02:45:27.705061+00:00,ADVANC,ask,3,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.705061+00:00,ADVANC,bid,4,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.705061+00:00,ADVANC,ask,4,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.705061+00:00,ADVANC,bid,5,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.705061+00:00,ADVANC,ask,5,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.705061+00:00,ADVANC,bid,6,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.705061+00:00,ADVANC,ask,6,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.705061+00:00,ADVANC,bid,7,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.705061+00:00,ADVANC,ask,7,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.705061+00:00,ADVANC,bid,8,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.705061+00:00,ADVANC,ask,8,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.705061+00:00,ADVANC,bid,9,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.705061+00:00,ADVANC,ask,9,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.705061+00:00,ADVANC,bid,10,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.705061+00:00,ADVANC,ask,10,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.717436+00:00,BBL,bid,1,0.0,100,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.717436+00:00,BBL,ask,1,177.0,1000,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.717436+00:00,BBL,bid,2,195.0,100,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.717436+00:00,BBL,ask,2,177.5,5000,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.717436+00:00,BBL,bid,3,194.5,100,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.717436+00:00,BBL,ask,3,178.0,1400,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
