symbol,yahoo_ticker,mapping_status,first_membership_period,last_membership_period,membership_periods,expected_start,expected_end,actual_start,actual_end,row_count,status,gap_count,largest_gap_days,validation_status,corporate_action_flag,error,notes
JMART,JMART.BK,VERIFIED,2022_H2,2023_H1,"2022_H2,2023_H1",2022-07-01,2023-06-30,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,Low above Open/Close by 0.10 (0.52%),existing pilot file reused; production overlap dates=898; production file read-only
JMT,JMT.BK,VERIFIED,2022_H2,2023_H1,"2022_H2,2023_H1",2022-07-01,2023-06-30,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,Low above Open/Close by 0.25 (0.66%),existing pilot file reused; production overlap dates=898; production file read-only
KBANK,KBANK.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 0.50 (0.39%); Low above Open/Close by 0.50 (0.39%),existing pilot file reused; production overlap dates=898; production file read-only
KCE,KCE.BK,VERIFIED,2022_H2,2024_H1,"2022_H2,2024_H1",2022-07-01,2024-06-30,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 0.25 (0.54%); Low above Open/Close by 0.25 (0.60%),existing pilot file reused; production overlap dates=898; production file read-only
KKP,KKP.BK,VERIFIED,2025_H2,2026_H2,"2025_H2,2026_H1,2026_H2",2025-07-01,2026-09-18,2022-07-01,2026-09-18,1030,FULL,0,0,PASS,False,,existing pilot file reused; production overlap dates=898; production file read-only
KTB,KTB.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,FULL,0,0,PASS,False,,existing pilot file reused; production overlap dates=898; production file read-only
KTC,KTC.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,Low above Open/Close by 0.75 (1.47%),existing pilot file reused; production overlap dates=898; production file read-only
LH,LH.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,FULL,0,0,PASS,False,,existing pilot file reused; production overlap dates=898; production file read-only
MINT,MINT.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 0.25 (0.72%),existing pilot file reused; production overlap dates=898; production file read-only
MRDIYT,MRDIYT.BK,VERIFIED,2026_H2,2026_H2,2026_H2,2026-07-01,2026-09-18,2025-11-05,2026-09-18,218,FULL,0,0,PASS,False,,existing pilot file reused; production overlap dates=208; production file read-only
MTC,MTC.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,FULL,0,0,PASS,False,,existing pilot file reused; production overlap dates=898; production file read-only
OR,OR.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 0.10 (0.44%); Low above Open/Close by 0.10 (0.45%),existing pilot file reused; production overlap dates=898; production file read-only
OSP,OSP.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,FULL,0,0,PASS,False,,existing pilot file reused; production overlap dates=898; production file read-only
PTT,PTT.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 0.25 (0.79%); Low above Open/Close by 0.25 (0.79%),existing pilot file reused; production overlap dates=898; production file read-only
PTTEP,PTTEP.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,Low above Open/Close by 0.50 (0.34%),existing pilot file reused; production overlap dates=898; production file read-only
PTTGC,PTTGC.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,FULL,0,0,PASS,False,,existing pilot file reused; production overlap dates=898; production file read-only
RATCH,RATCH.BK,VERIFIED,2023_H1,2026_H2,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2023-01-01,2026-09-18,2022-07-01,2026-09-18,1030,FULL,0,0,PASS,False,,existing pilot file reused; production overlap dates=898; production file read-only
SAWAD,SAWAD.BK,VERIFIED,2022_H2,2026_H1,"2022_H2,2023_H1,2023_H2,2024_H1,2025_H1,2026_H1",2022-07-01,2026-06-30,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 0.21 (0.43%); Low above Open/Close by 0.21 (0.55%),existing pilot file reused; production overlap dates=898; production file read-only
SCB,SCB.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,True,Low above Open/Close by 0.50 (0.50%),SCB X / SCBB restructuring boundary requires identity review.; existing pilot file reused; production overlap dates=898; production file read-only
SCC,SCC.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 2.00 (0.59%); Low above Open/Close by 1.00 (0.31%),existing pilot file reused; production overlap dates=898; production file read-only
SCGP,SCGP.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,FULL,0,0,PASS,False,,existing pilot file reused; production overlap dates=898; production file read-only
TCAP,TCAP.BK,VERIFIED,2025_H2,2026_H2,"2025_H2,2026_H1,2026_H2",2025-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 0.50 (1.00%),existing pilot file reused; production overlap dates=898; production file read-only
TFG,TFG.BK,VERIFIED,2026_H2,2026_H2,2026_H2,2026-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 0.02 (0.50%); Low above Open/Close by 0.06 (1.57%),existing pilot file reused; production overlap dates=898; production file read-only
THAI,THAI.BK,VERIFIED,2026_H2,2026_H2,2026_H2,2026-07-01,2026-09-18,2022-07-01,2026-09-18,1030,FULL,0,0,PASS,False,,existing pilot file reused; production overlap dates=898; production file read-only
TIDLOR,TIDLOR.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H2,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2025-05-16,2026-09-18,333,PARTIAL,0,0,PASS,True,coverage starts after requested start: 2025-05-16 > 2022-07-01,2021 listing and 2025 holding-company transition require identity review.; existing pilot file reused; production overlap dates=323; production file read-only
TISCO,TISCO.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 0.25 (0.26%),existing pilot file reused; production overlap dates=898; production file read-only
TLI,TLI.BK,VERIFIED,2023_H2,2026_H2,"2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2023-07-01,2026-09-18,2022-07-25,2026-09-18,1015,PARTIAL,0,0,ISSUES,False,High below Open/Close by 0.10 (0.77%),existing pilot file reused; production overlap dates=898; production file read-only
TOP,TOP.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,FULL,0,0,PASS,False,,existing pilot file reused; production overlap dates=898; production file read-only
TRUE,TRUE.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,True,High below Open/Close by 0.05 (0.70%); Low above Open/Close by 0.05 (0.76%),TRUE/TRUEE/DTAC corporate-action history requires identity review.; existing pilot file reused; production overlap dates=898; production file read-only
TTB,TTB.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,True,High below Open/Close by 0.01 (0.58%); Low above Open/Close by 0.01 (0.58%),TMB to TTB historical identity transition requires date-effective review.; existing pilot file reused; production overlap dates=898; production file read-only
TU,TU.BK,VERIFIED,2022_H2,2026_H2,"2022_H2,2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2022-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,Low above Open/Close by 0.10 (0.68%),existing pilot file reused; production overlap dates=898; production file read-only
VGI,VGI.BK,VERIFIED,2025_H2,2025_H2,2025_H2,2025-07-01,2025-12-31,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,Low above Open/Close by 0.02 (0.74%),existing pilot file reused; production overlap dates=898; production file read-only
WHA,WHA.BK,VERIFIED,2023_H2,2026_H2,"2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2023-07-01,2026-09-18,2022-07-01,2026-09-18,1030,PARTIAL,0,0,ISSUES,False,High below Open/Close by 0.05 (0.98%),existing pilot file reused; production overlap dates=898; production file read-only
