yahoo_ticker,set_symbols,membership_periods,requested_start,requested_end,requested_end_exclusive,actual_first_date,actual_last_date,rows,status,depth_status,request_mode,validation_status,coverage_issues,validation_issues,error,output_file
BJC.BK,BJC,"2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.25 (0.72%); Low above Open/Close by 0.25 (0.68%),,data\pilot\historical_depth_experiment\BJC_BK.csv
BTS.BK,BTS,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.05 (0.68%),,data\pilot\historical_depth_experiment\BTS_BK.csv
CBG.BK,CBG,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 1.00 (1.19%); Low above Open/Close by 0.50 (0.62%),,data\pilot\historical_depth_experiment\CBG_BK.csv
CCET.BK,CCET,"2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.03 (1.69%); Low above Open/Close by 0.04 (2.16%),,data\pilot\historical_depth_experiment\CCET_BK.csv
CENTEL.BK,CENTEL,"2023_H1,2023_H2,2024_H1,2024_H2,2026_H1",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,PASS,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,,,data\pilot\historical_depth_experiment\CENTEL_BK.csv
COM7.BK,COM7,"2023_H1,2023_H2,2024_H1,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.25 (0.98%),,data\pilot\historical_depth_experiment\COM7_BK.csv
CPALL.BK,CPALL,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.25 (0.39%); Low above Open/Close by 0.25 (0.42%),,data\pilot\historical_depth_experiment\CPALL_BK.csv
CPF.BK,CPF,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.10 (0.49%); Low above Open/Close by 0.10 (0.51%),,data\pilot\historical_depth_experiment\CPF_BK.csv
CPN.BK,CPN,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.25 (0.37%); Low above Open/Close by 0.25 (0.38%),,data\pilot\historical_depth_experiment\CPN_BK.csv
CRC.BK,CRC,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2020-02-20,2026-09-18,1599,PARTIAL,START_AFTER_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2020-02-20 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,Low above Open/Close by 0.25 (0.66%),,data\pilot\historical_depth_experiment\CRC_BK.csv
