design,year,month,side,reason_class,price_bucket,notional_bucket,fills,notional,slippage,avg_slippage,median_slippage,fees,transaction_cost,slippage_bps
A,2023,2023-08,SELL,NORMAL_STRATEGY,5-10,Q4,1,731812.25,4330.25,4330.25,4330.25,1229.371398775,5559.621398775,59.171597633136095
A,2023,2023-08,SELL,NORMAL_STRATEGY,10-25,Q2,3,332193.26437873836,2010.3000000000002,670.1,657.2,558.0514648298426,2568.351464829843,60.515977160452834
A,2023,2023-08,SELL,NORMAL_STRATEGY,10-25,Q4,2,1760352.651137161,10715.7,5357.85,5357.85,2957.2164186453174,13672.916418645316,60.87246207785594
A,2023,2023-08,SELL,NORMAL_STRATEGY,25-50,Q2,3,465508.75,3367.0,1122.3333333333333,990.75,782.0081491249999,4149.008149125,72.32946749121257
A,2023,2023-08,SELL,NORMAL_STRATEGY,25-50,Q3,5,2314483.0,16988.5,3397.7,3582.5,3888.0999917,20876.5999917,73.40084157023404
A,2023,2023-08,SELL,NORMAL_STRATEGY,25-50,Q4,8,7937571.0,60844.5,7605.5625,6927.75,13334.325522899999,74178.8255229,76.65380252976635
A,2023,2023-08,SELL,NORMAL_STRATEGY,50-100,Q4,1,952769.25,4602.75,4602.75,4602.75,1600.5570630749999,6203.307063075,48.30917874396135
A,2023,2023-09,BUY,NORMAL_STRATEGY,10-25,Q2,1,244382.19912872315,1470.6,1470.6,1470.6,410.53765631634195,1881.137656316342,60.17623236238219
A,2023,2023-09,BUY,NORMAL_STRATEGY,25-50,Q2,1,165763.0,1010.75,1010.75,1010.75,278.4652637,1289.2152637,60.97560975609756
A,2023,2023-09,BUY,NORMAL_STRATEGY,25-50,Q3,5,1760505.0,11838.75,2367.75,2267.75,2957.4723495,14796.2223495,67.2463298882991
A,2023,2023-09,BUY,NORMAL_STRATEGY,25-50,Q4,4,8506310.5,56847.75,14211.9375,10083.5,14289.751008950001,71137.50100895,66.83009043697616
A,2023,2023-09,SELL,NORMAL_STRATEGY,10-25,Q3,1,304470.3525310516,1874.9,1874.9,1874.9,511.47974521691367,2386.3797452169138,61.57906621823835
A,2023,2023-09,SELL,NORMAL_STRATEGY,10-25,Q4,1,1471939.9192173004,9761.8,9761.8,9761.8,2472.711870293143,12234.511870293143,66.31928295817133
A,2023,2023-09,SELL,NORMAL_STRATEGY,25-50,Q4,7,13313636.0,95985.5,13712.214285714286,10422.75,22365.5771164,118351.0771164,72.09563187697185
A,2023,2023-09,SELL,NORMAL_STRATEGY,50-100,Q4,1,1142585.5,5628.5,5628.5,5628.5,1919.42938145,7547.92938145,49.26108374384236
A,2023,2023-10,BUY,NORMAL_STRATEGY,10-25,Q4,1,3464096.932233429,17764.6,17764.6,17764.6,5819.336436458938,23583.936436458935,51.28205228525899
