symbol,feature,horizon_days,sample_size,pearson,spearman,true_mean,false_mean
BDMS,close_gt_sma50,10,878,-0.11499940916402047,-0.07877159843834025,-0.009924593021348842,-0.0007216516357373778
BDMS,close_gt_sma50,20,878,-0.1650000093166921,-0.13468898387385128,-0.019482418124928985,-0.0015306615421521548
BDMS,sma20_gt_sma50,1,878,-0.06918153387149785,-0.05061959671802629,-0.0016271696846232057,0.0003767447233775773
BDMS,sma20_gt_sma50,3,878,-0.11184202804168564,-0.11297558902117556,-0.004607805593459172,0.000894853245616067
BDMS,sma20_gt_sma50,5,878,-0.1338982118435693,-0.1472590553966061,-0.007190127972416702,0.0010344629793374023
BDMS,sma20_gt_sma50,10,878,-0.12981919143975787,-0.10986077626488512,-0.010745303813544042,-0.00032784677961119224
BDMS,sma20_gt_sma50,20,878,-0.0963917190040766,-0.08261419383191611,-0.014796232763068342,-0.004280138301152524
BDMS,volatility_20,1,858,-0.009679496579276642,-0.021577667219302335,,
BDMS,volatility_20,3,858,-0.029595455792443718,-0.04269945617626252,,
BDMS,volatility_20,5,858,-0.04090406617589714,-0.0455391601006093,,
BDMS,volatility_20,10,858,-0.031024598791867232,-0.04178546765540233,,
BDMS,volatility_20,20,858,-0.0747606490875515,-0.1030168910597679,,
BDMS,volume_ratio_20,1,859,0.022784811744142108,0.02291701600356561,,
BDMS,volume_ratio_20,3,859,0.023743365296163912,0.029127590201126118,,
BDMS,volume_ratio_20,5,859,0.05196003005329233,0.06433190647844195,,
BDMS,volume_ratio_20,10,859,0.07336264852786975,0.06913012330553923,,
BDMS,volume_ratio_20,20,859,0.07410550670180954,0.0508041443689298,,
BGRIM,momentum_20,1,565,-0.007737610534379096,-0.004808452799207373,,
BGRIM,momentum_20,3,565,-0.0398766120482892,-0.025919519436579115,,
BGRIM,momentum_20,5,565,-0.06201795856081819,-0.05633383988074853,,
BGRIM,momentum_20,10,565,-0.028419142276063666,-0.01805236558029417,,
BGRIM,momentum_20,20,565,-0.019617792467537597,-0.015471588589208954,,
BGRIM,momentum_60,1,525,-0.005055223995400359,0.011390965853267643,,
BGRIM,momentum_60,3,525,-0.007611083930348097,0.017072484852988564,,
BGRIM,momentum_60,5,525,-0.016210676879596816,-0.011688260463533816,,
BGRIM,momentum_60,10,525,-0.030292920348560248,-0.015371151295787316,,
BGRIM,momentum_60,20,525,-0.0807349417835494,-0.020839237340627405,,
BGRIM,momentum_120,1,465,-0.05251131894399184,-0.03656008996244304,,
BGRIM,momentum_120,3,465,-0.08380799988591373,-0.059931200187202424,,
BGRIM,momentum_120,5,465,-0.11785998196878424,-0.11849573261118235,,
BGRIM,momentum_120,10,465,-0.1771231163938335,-0.20110051868057394,,
BGRIM,momentum_120,20,465,-0.28537521246646613,-0.30119127648700916,,
BGRIM,close_gt_sma20,1,585,0.019715123640815263,0.03730438764012371,-0.0014929942551190356,-0.00245775200421114
BGRIM,close_gt_sma20,3,585,0.012973675529863738,0.028021989863017894,-0.005748541661273489,-0.006854682422968849
BGRIM,close_gt_sma20,5,585,-0.008805996682771463,-0.0017414285384909772,-0.011201599601509429,-0.010220276087791514
BGRIM,close_gt_sma20,10,585,-0.012662118041805101,-0.010597537617831738,-0.02238831063792501,-0.020499949748150396
BGRIM,close_gt_sma20,20,585,-0.036634209243332834,-0.029260446808361214,-0.04682968311587895,-0.03907939465783538
BGRIM,close_gt_sma50,1,585,-0.026030019129783304,-0.031290866826446814,-0.003121640960091653,-0.0017624797627627795
BGRIM,close_gt_sma50,3,585,-0.05084037981922537,-0.044565475930953585,-0.00985443215449915,-0.005229196546717878
BGRIM,close_gt_sma50,5,585,-0.08810948882516749,-0.08552101022027891,-0.01820135791095858,-0.0077244270272984646
BGRIM,close_gt_sma50,10,585,-0.060564234849366926,-0.05879661745949843,-0.028176999230628743,-0.018539317426917543
BGRIM,close_gt_sma50,20,585,-0.006315092977565054,-0.001436273593801077,-0.04275636172117055,-0.041330791864260946
BGRIM,sma20_gt_sma50,1,585,-0.027834264333205874,-0.036918106612522414,-0.0031547864790749964,-0.0017233975533836245
BGRIM,sma20_gt_sma50,3,585,-0.019588964523723728,-0.017138781929272175,-0.007735523744177378,-0.0059803586260762645
BGRIM,sma20_gt_sma50,5,585,0.015478364182988763,0.012585857220691393,-0.009255790890684146,-0.011068457285762131
BGRIM,sma20_gt_sma50,10,585,0.02401354877406582,0.015032562104761869,-0.018446734928000714,-0.022210253989701705
