symbol,side,status,reason,signal_date,execution_date,quantity,requested_price,executed_price,commission,vat,total_fees,slippage,cash_before,cash_after,position_before,position_after
MTC,SELL,FILLED,EXIT_CONFIRMED,2023-04-26 00:00:00,2023-04-27 00:00:00,28523,33.25,33.25,1488.9719075,104.228033525,1593.199941025,7130.75,6417901.347514587677009341285,7364697.897573562677009341285,28523,0
LH,SELL,FILLED,EXIT_CONFIRMED,2023-04-27 00:00:00,2023-04-28 00:00:00,101352,9.750000190734863,9.750000190734863,1551.44577035023494059832,108.6012039245164458418824,1660.0469742747513864402024,5067.600000000000000,7364697.897573562677009341285,8351219.869930647760398901083,101352,0
MTC,BUY,FILLED,ENTRY_CONFIRMED,2023-05-08 00:00:00,2023-05-09 00:00:00,26981,37.00,37.00,1567.3262900,109.712840300,1677.039130300,6745.25,8351219.869930647760398901083,7351245.830800347760398901083,0,26981
HMPRO,BUY,FILLED,ENTRY_CONFIRMED,2023-05-09 00:00:00,2023-05-10 00:00:00,68849,14.499999618530272,14.499999618530272,1567.34744376581939417696,109.7143210636073575923872,1677.0617648294267517693472,6884.900000000000000,7351245.830800347760398901083,6351258.295299327636719131736,0,68849
RATCH,BUY,FILLED,ENTRY_CONFIRMED,2023-05-09 00:00:00,2023-05-10 00:00:00,25598,39.00,39.00,1567.3655400,109.715587800,1677.081127800,6399.50,6351258.295299327636719131736,5351259.214171527636719131736,0,25598
BGRIM,BUY,FILLED,ENTRY_CONFIRMED,2023-05-10 00:00:00,2023-05-11 00:00:00,24803,40.25,40.25,1567.3635775,109.715450425,1677.079027925,6200.75,5351259.214171527636719131736,4351261.385143602636719131736,0,24803
IVL,BUY,FILLED,ENTRY_CONFIRMED,2023-05-11 00:00:00,2023-05-12 00:00:00,28936,34.50,34.50,1567.3184400,109.712290800,1677.030730800,7234.00,4351261.385143602636719131736,3351292.354412802636719131736,0,28936
COM7,BUY,FILLED,ENTRY_CONFIRMED,2023-05-12 00:00:00,2023-05-15 00:00:00,35028,28.50,28.50,1567.3278600,109.712950200,1677.040810200,8757.00,3351292.354412802636719131736,2351317.313602602636719131736,0,35028
GLOBAL,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
OSP,BUY,FILLED,ENTRY_CONFIRMED,2023-05-12 00:00:00,2023-05-15 00:00:00,31692,31.50,31.50,1567.3278600,109.712950200,1677.040810200,7923.00,2351317.313602602636719131736,1351342.272792402636719131736,0,31692
GLOBAL,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
BGRIM,SELL,FILLED,EXIT_CONFIRMED,2023-05-16 00:00:00,2023-05-17 00:00:00,24803,37.25,37.25,1450.5414475,101.537901325,1552.079348825,6200.75,1351342.272792402636719131736,2273701.943443577636719131736,24803,0
GLOBAL,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
IVL,SELL,FILLED,EXIT_CONFIRMED,2023-05-16 00:00:00,2023-05-17 00:00:00,28936,33.50,33.50,1521.8889200,106.532224400,1628.421144400,7234.00,2273701.943443577636719131736,3241429.522299177636719131736,28936,0
RATCH,SELL,FILLED,EXIT_CONFIRMED,2023-05-16 00:00:00,2023-05-17 00:00:00,25598,37.50,37.50,1507.0822500,105.495757500,1612.578007500,6399.50,3241429.522299177636719131736,4199741.944291677636719131736,25598,0
COM7,SELL,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
GLOBAL,BUY,FILLED,ENTRY_CONFIRMED,2023-05-17 00:00:00,2023-05-18 00:00:00,61394,16.26071319580078,16.26071319580078,1567.3470547304991470924,109.714293831134940296468,1677.061348561634087388868,6139.40000000000000,4199741.944291677636719131736,3199754.657000122915311742868,0,61394
COM7,SELL,FILLED,EXIT_CONFIRMED,2023-05-18 00:00:00,2023-05-19 00:00:00,35028,27.50,27.50,1512.3339000,105.863373000,1618.197273000,8757.00,3199754.657000122915311742868,4161406.459727122915311742868,35028,0
HMPRO,SELL,FILLED,EXIT_CONFIRMED,2023-05-18 00:00:00,2023-05-19 00:00:00,68849,14.000000381469728,14.000000381469728,1513.30106123418060582304,105.9310742863926424076128,1619.2321355205732482306528,6884.900000000000000,4161406.459727122915311742868,5123673.253855411645135512215,68849,0
HMPRO,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
HMPRO,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
COM7,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
OSP,SELL,FILLED,EXIT_CONFIRMED,2023-05-25 00:00:00,2023-05-26 00:00:00,31692,29.25,29.25,1455.3758700,101.876310900,1557.252180900,7923.00,5123673.253855411645135512215,6049107.001674511645135512215,31692,0
COM7,BUY,FILLED,ENTRY_CONFIRMED,2023-05-26 00:00:00,2023-05-29 00:00:00,35654,28.00,28.00,1567.3498400,109.714488800,1677.064328800,8913.50,6049107.001674511645135512215,5049117.937345711645135512215,0,35654
GLOBAL,SELL,FILLED,EXIT_CONFIRMED,2023-06-02 00:00:00,2023-06-06 00:00:00,61394,15.882142448425291,15.882142448425291,1530.85715796143703557678,107.1600010573005924903746,1638.0171590187376280671546,6139.400000000000000,5049117.937345711645135512215,6022548.173665315223161445060,61394,0
BGRIM,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
IVL,BUY,FILLED,ENTRY_CONFIRMED,2023-06-14 00:00:00,2023-06-15 00:00:00,28321,35.25,35.25,1567.3549425,109.714845975,1677.069788475,7080.25,6022548.173665315223161445060,5022555.853876840223161445060,0,28321
BGRIM,BUY,FILLED,ENTRY_CONFIRMED,2023-06-15 00:00:00,2023-06-16 00:00:00,26445,37.75,37.75,1567.3290375,109.713032625,1677.042070125,6611.25,5022555.853876840223161445060,4022580.061806715223161445060,0,26445
PTTGC,BUY,FILLED,ENTRY_CONFIRMED,2023-06-15 00:00:00,2023-06-16 00:00:00,25598,39.00,39.00,1567.3655400,109.715587800,1677.081127800,6399.50,4022580.061806715223161445060,3022580.980678915223161445060,0,25598
COM7,SELL,FILLED,EXIT_CONFIRMED,2023-06-16 00:00:00,2023-06-19 00:00:00,35654,27.25,27.25,1525.3672550,106.775707850,1632.142962850,8913.50,3022580.980678915223161445060,3992520.337716065223161445060,35654,0
MTC,SELL,FILLED,EXIT_CONFIRMED,2023-06-16 00:00:00,2023-06-19 00:00:00,26981,39.50,39.50,1673.2267150,117.125870050,1790.352585050,6745.25,3992520.337716065223161445060,5056479.485131015223161445060,26981,0
TOP,BUY,FILLED,ENTRY_CONFIRMED,2023-06-16 00:00:00,2023-06-19 00:00:00,21941,45.50,45.50,1567.3553350,109.714873450,1677.070208450,5485.25,5056479.485131015223161445060,4056486.914922565223161445060,0,21941
BGRIM,SELL,FILLED,EXIT_CONFIRMED,2023-06-19 00:00:00,2023-06-20 00:00:00,26445,36.50,36.50,1515.4307250,106.080150750,1621.510875750,6611.25,4056486.914922565223161445060,5020107.904046815223161445060,26445,0
RATCH,BUY,FILLED,ENTRY_CONFIRMED,2023-06-19 00:00:00,2023-06-20 00:00:00,26621,37.50,37.50,1567.3113750,109.711796250,1677.023171250,6655.25,5020107.904046815223161445060,4020143.380875565223161445060,0,26621
BDMS,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
BDMS,BUY,FILLED,ENTRY_CONFIRMED,2023-06-21 00:00:00,2023-06-22 00:00:00,34724,28.75,28.75,1567.3545500,109.714818500,1677.069368500,8681.00,4020143.380875565223161445060,3020151.311507065223161445060,0,34724
TOP,SELL,FILLED,EXIT_CONFIRMED,2023-06-21 00:00:00,2023-06-22 00:00:00,21941,44.75,44.75,1541.5198075,107.906386525,1649.426194025,5485.25,3020151.311507065223161445060,4000361.635313040223161445060,21941,0
PTTGC,SELL,FILLED,EXIT_CONFIRMED,2023-06-22 00:00:00,2023-06-23 00:00:00,25598,36.75,36.75,1476.9406050,103.385842350,1580.326447350,6399.50,4000361.635313040223161445060,4939507.808865690223161445060,25598,0
RATCH,SELL,FILLED,EXIT_CONFIRMED,2023-06-22 00:00:00,2023-06-23 00:00:00,26621,36.25,36.25,1515.0676625,106.054736375,1621.122398875,6655.25,4939507.808865690223161445060,5902897.936466815223161445060,26621,0
BDMS,SELL,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
OSP,BUY,FILLED,ENTRY_CONFIRMED,2023-06-23 00:00:00,2023-06-26 00:00:00,32731,30.50,30.50,1567.3239350,109.712675450,1677.036610450,8182.75,5902897.936466815223161445060,4902925.399856365223161445060,0,32731
BDMS,SELL,FILLED,EXIT_CONFIRMED,2023-06-26 00:00:00,2023-06-27 00:00:00,34724,28.00,28.00,1526.4670400,106.852692800,1633.319732800,8681.00,4902925.399856365223161445060,5873564.080123565223161445060,34724,0
IVL,SELL,FILLED,EXIT_CONFIRMED,2023-06-28 00:00:00,2023-06-29 00:00:00,28321,32.25,32.25,1433.9630325,100.377412275,1534.340444775,7080.25,5873564.080123565223161445060,6785381.989678790223161445060,28321,0
