signal_date,execution_date,selected_symbols
2024-12-13 00:00:00,2024-12-16 00:00:00,RATCH|HMPRO|IVL|KTB|MTC
2024-12-18 00:00:00,2024-12-19 00:00:00,IVL|KTB
2024-12-23 00:00:00,2024-12-24 00:00:00,IVL|KTB|OSP
2024-12-26 00:00:00,2024-12-27 00:00:00,KTB
2025-01-02 00:00:00,2025-01-03 00:00:00,COM7|KTB|PTTGC
2025-01-07 00:00:00,2025-01-08 00:00:00,COM7|KTB
2025-01-10 00:00:00,2025-01-13 00:00:00,COM7|KTB
2025-01-15 00:00:00,2025-01-16 00:00:00,COM7|KTB|OSP
2025-01-20 00:00:00,2025-01-21 00:00:00,COM7|KTB|OSP
2025-01-23 00:00:00,2025-01-24 00:00:00,KTB
2025-01-28 00:00:00,2025-01-29 00:00:00,COM7|KTB
2025-01-31 00:00:00,2025-02-03 00:00:00,KTB
2025-02-05 00:00:00,2025-02-06 00:00:00,KTB
2025-02-10 00:00:00,2025-02-11 00:00:00,KTB
2025-02-14 00:00:00,2025-02-17 00:00:00,
2025-02-19 00:00:00,2025-02-20 00:00:00,MTC|KTB|TOP
2025-02-24 00:00:00,2025-02-25 00:00:00,MTC|KTB
2025-02-27 00:00:00,2025-02-28 00:00:00,MTC|BDMS
2025-03-04 00:00:00,2025-03-05 00:00:00,MTC|BDMS
2025-03-07 00:00:00,2025-03-10 00:00:00,OSP|MTC|TOP|BDMS|LH
2025-03-12 00:00:00,2025-03-13 00:00:00,BDMS|TOP|OSP
2025-03-17 00:00:00,2025-03-18 00:00:00,SCGP|BDMS|KTB|OSP
2025-03-20 00:00:00,2025-03-21 00:00:00,SCGP|OSP|LH
2025-03-25 00:00:00,2025-03-26 00:00:00,TOP|KTB|PTTGC
2025-03-28 00:00:00,2025-03-31 00:00:00,KTB
2025-04-02 00:00:00,2025-04-03 00:00:00,KTB|HMPRO
2025-04-08 00:00:00,2025-04-09 00:00:00,HMPRO
2025-04-11 00:00:00,2025-04-16 00:00:00,HMPRO
2025-04-18 00:00:00,2025-04-21 00:00:00,HMPRO|GLOBAL|MTC|COM7
2025-04-23 00:00:00,2025-04-24 00:00:00,MTC|BDMS|COM7
2025-04-28 00:00:00,2025-04-29 00:00:00,MTC|OSP|GLOBAL|COM7|BDMS|RATCH|BGRIM
2025-05-02 00:00:00,2025-05-06 00:00:00,MTC|OSP|BGRIM|BDMS|SCGP|TOP|COM7|RATCH|GLOBAL
2025-05-08 00:00:00,2025-05-09 00:00:00,SCGP|BGRIM|RATCH|OSP|COM7|BDMS|TOP|MTC|PTTGC|GULF
2025-05-14 00:00:00,2025-05-15 00:00:00,SCGP|TOP|PTTGC|BGRIM|COM7|GULF|RATCH|IVL|BDMS|KTB
2025-05-19 00:00:00,2025-05-20 00:00:00,SCGP|TOP|PTTGC|COM7|BGRIM|KTB|GULF|IVL
2025-05-22 00:00:00,2025-05-23 00:00:00,SCGP|TOP|PTTGC|KTB|COM7|IVL
2025-05-27 00:00:00,2025-05-28 00:00:00,SCGP|TOP|PTTGC|IVL|KTB|OSP
2025-05-30 00:00:00,2025-06-04 00:00:00,PTTGC|SCGP|TOP|IVL|OSP
2025-06-06 00:00:00,2025-06-09 00:00:00,PTTGC|IVL|OSP|KTB
2025-06-11 00:00:00,2025-06-12 00:00:00,SCGP|OSP|PTTGC|IVL
2025-06-16 00:00:00,2025-06-17 00:00:00,PTTGC|TOP|SCGP
2025-06-19 00:00:00,2025-06-20 00:00:00,
2025-06-24 00:00:00,2025-06-25 00:00:00,IVL|BGRIM
2025-06-27 00:00:00,2025-06-30 00:00:00,BGRIM
2025-07-02 00:00:00,2025-07-03 00:00:00,SCGP|IVL|PTTGC
2025-07-07 00:00:00,2025-07-08 00:00:00,PTTGC|COM7|SCGP|IVL|TOP
2025-07-11 00:00:00,2025-07-14 00:00:00,IVL|PTTGC|COM7
2025-07-16 00:00:00,2025-07-17 00:00:00,COM7|OSP|LH|HMPRO|PTTGC|IVL|SCGP|RATCH|TOP
2025-07-21 00:00:00,2025-07-22 00:00:00,HMPRO|COM7|TOP|LH|OSP|PTTGC|GULF|SCGP|MTC|IVL|BDMS|RATCH
2025-07-24 00:00:00,2025-07-25 00:00:00,TOP|COM7|LH|OSP|GULF|HMPRO|PTTGC|IVL|SCGP|RATCH|BDMS|MTC
2025-07-30 00:00:00,2025-07-31 00:00:00,TOP|GULF|OSP|PTTGC|COM7|IVL|SCGP|LH|HMPRO|RATCH|MTC|BDMS|KTB
2025-08-04 00:00:00,2025-08-05 00:00:00,TOP|KKP|PTTGC|GULF|COM7|OSP|TIDLOR|IVL|LH|BDMS|RATCH|KTB
2025-08-07 00:00:00,2025-08-08 00:00:00,KKP|GULF|OSP|PTTGC|TIDLOR|TOP|IVL|COM7|LH|MTC|BDMS|SCGP|KTB|RATCH
2025-08-14 00:00:00,2025-08-15 00:00:00,KKP|COM7|TIDLOR|OSP|GULF|KTB|LH|PTTGC|RATCH|BDMS
2025-08-19 00:00:00,2025-08-20 00:00:00,KKP|COM7|KTB|TIDLOR|LH|GULF
2025-08-22 00:00:00,2025-08-25 00:00:00,PTTGC|COM7|KTB|TIDLOR|GULF|IVL|KKP|RATCH|SCGP|LH
