signal_date,execution_date,symbol,side,quantity,order_type,validity,requested_price,executed_price,status,reason,order_value,commission,vat,total_fees,slippage,membership_end_date
2023-10-30 00:00:00,2023-10-31 00:00:00,KTB,SELL,175249,LIMIT,IOC,18.90,18.90,FILLED,,3312206.10,5200.1635770,364.011450390,5564.175027390,17524.90,
2023-10-30 00:00:00,2023-10-31 00:00:00,RATCH,SELL,34135,LIMIT,IOC,32.00,32.00,FILLED,,1092320.00,1714.9424000,120.045968000,1834.988368000,8533.75,
2023-10-30 00:00:00,2023-10-31 00:00:00,MTC,BUY,60045,LIMIT,IOC,37.00,,NON_FILL,IOC_LIMIT_NOT_FILLED,0,0,0,0,0,
2023-10-30 00:00:00,2023-10-31 00:00:00,PTTGC,BUY,63026,LIMIT,IOC,35.25,35.25,FILLED,,2221666.50,3488.0164050,244.161148350,3732.177553350,15756.50,
2023-11-02 00:00:00,2023-11-03 00:00:00,PTTGC,SELL,263,LIMIT,IOC,35.75,,NON_FILL,IOC_LIMIT_NOT_FILLED,0,0,0,0,0,
2023-11-02 00:00:00,2023-11-03 00:00:00,MTC,BUY,56526,LIMIT,IOC,40.25,,NON_FILL,INSUFFICIENT_CASH,0,0,0,0,0,
2023-11-02 00:00:00,2023-11-03 00:00:00,RATCH,BUY,585,LIMIT,IOC,33.00,33.00,FILLED,,19305.00,30.3088500,2.121619500,32.430469500,146.25,
2023-11-07 00:00:00,2023-11-08 00:00:00,RATCH,SELL,34188,LIMIT,IOC,31.75,31.75,FILLED,,1085469.00,1704.1863300,119.293043100,1823.479373100,8547.00,
2023-11-07 00:00:00,2023-11-08 00:00:00,PTTGC,SELL,32935,LIMIT,IOC,36.75,36.75,FILLED,,1210361.25,1900.2671625,133.018701375,2033.285863875,8233.75,
2023-11-07 00:00:00,2023-11-08 00:00:00,CENTEL,BUY,24235,LIMIT,IOC,46.25,46.25,FILLED,,1120868.75,1759.7639375,123.183475625,1882.947413125,6058.75,
2023-11-07 00:00:00,2023-11-08 00:00:00,GLOBAL,BUY,76029,LIMIT,IOC,14.74285659790039,14.74285659790039,FILLED,,1120884.64428176875131,1759.7888915223769395567,123.185222406566385768969,1882.974113928943325325669,7602.90000000000000,
2023-11-07 00:00:00,2023-11-08 00:00:00,IVL,BUY,43529,LIMIT,IOC,25.75,25.75,FILLED,,1120871.75,1759.7686475,123.183805325,1882.952452825,10882.25,
