symbol,feature,observations,mean,return_correlation,forward_5d_mean,positive_forward_5d_rate,classification
CENTEL,close_gt_sma20,607,0.46622734761120266,0.2515255147139354,-0.0016694933726745789,0.4645799011532125,DIAGNOSTIC_ONLY
CENTEL,close_gt_sma50,607,0.33278418451400327,0.16481615693675342,-0.0016694933726745789,0.4645799011532125,DIAGNOSTIC_ONLY
CENTEL,sma20_gt_sma50,607,0.31960461285008235,-0.08365384270336192,-0.0016694933726745789,0.4645799011532125,DIAGNOSTIC_ONLY
CENTEL,volatility_20,588,0.019199044903133112,-0.009372261238893924,-0.0019374772284943317,0.45918367346938777,DIAGNOSTIC_ONLY
CENTEL,volume_sma_20,589,3412255.5517826825,0.03842932800365188,-0.001868300831764823,0.4601018675721562,DIAGNOSTIC_ONLY
CENTEL,volume_ratio_20,589,1.0224631650337572,-0.08342313536560363,-0.001868300831764823,0.4601018675721562,DIAGNOSTIC_ONLY
COM7,momentum_20,754,0.003680512174582835,0.21426728437772735,0.0010464849368101632,0.46021220159151194,DIAGNOSTIC_ONLY
COM7,momentum_60,714,0.00952004069898355,0.1125842351971937,0.0014857320818339808,0.46078431372549017,DIAGNOSTIC_ONLY
COM7,momentum_120,654,4.3435798969108436e-05,0.0738345539717781,0.0023553769874948985,0.463302752293578,DIAGNOSTIC_ONLY
COM7,close_gt_sma20,773,0.46054333764553684,0.2620629879787927,0.0005339696696836918,0.4553686934023286,DIAGNOSTIC_ONLY
COM7,close_gt_sma50,773,0.45278137128072443,0.1459118298415014,0.0005339696696836918,0.4553686934023286,DIAGNOSTIC_ONLY
COM7,sma20_gt_sma50,773,0.4346701164294955,-0.019883245464836902,0.0005339696696836918,0.4553686934023286,DIAGNOSTIC_ONLY
COM7,volatility_20,754,0.02310419978812069,0.08781668373862127,0.0010464849368101632,0.46021220159151194,DIAGNOSTIC_ONLY
COM7,volume_sma_20,755,12845599.278145695,0.03139178349502896,0.001098853064421298,0.4609271523178808,DIAGNOSTIC_ONLY
COM7,volume_ratio_20,755,1.0118192734394444,-0.08627983801631409,0.001098853064421298,0.4609271523178808,DIAGNOSTIC_ONLY
GLOBAL,momentum_20,585,-0.038892926643449885,0.2154806057250142,-0.009894700482243878,0.40854700854700854,DIAGNOSTIC_ONLY
GLOBAL,momentum_60,545,-0.09772759890764844,0.13436006334168546,-0.009959872668998537,0.4036697247706422,DIAGNOSTIC_ONLY
GLOBAL,momentum_120,485,-0.15300932111787713,0.10656011140718265,-0.00964648932886326,0.41237113402061853,DIAGNOSTIC_ONLY
GLOBAL,close_gt_sma20,604,0.3890728476821192,0.24135214216202072,-0.010066821315934848,0.4105960264900662,DIAGNOSTIC_ONLY
GLOBAL,close_gt_sma50,604,0.32781456953642385,0.15934789974145486,-0.010066821315934848,0.4105960264900662,DIAGNOSTIC_ONLY
GLOBAL,sma20_gt_sma50,604,0.28807947019867547,0.008587712363443195,-0.010066821315934848,0.4105960264900662,DIAGNOSTIC_ONLY
GLOBAL,volatility_20,585,0.020613519118613626,-0.03113586689107926,-0.009894700482243878,0.40854700854700854,DIAGNOSTIC_ONLY
GLOBAL,volume_sma_20,586,11170921.352474403,-0.02766282360739896,-0.009861040340311185,0.40955631399317405,DIAGNOSTIC_ONLY
GLOBAL,volume_ratio_20,586,1.0152705154070518,-0.0740839866471925,-0.009861040340311185,0.40955631399317405,DIAGNOSTIC_ONLY
HMPRO,momentum_20,878,-0.015874963943398556,0.20438380133387193,-0.0038706093509595046,0.37471526195899774,DIAGNOSTIC_ONLY
HMPRO,momentum_60,838,-0.05109628647666947,0.09105535835056028,-0.003977567213698322,0.36754176610978523,DIAGNOSTIC_ONLY
HMPRO,momentum_120,778,-0.11443457790266884,0.09673883020240538,-0.004157755696060311,0.3676092544987147,DIAGNOSTIC_ONLY
HMPRO,close_gt_sma20,897,0.399108138238573,0.26915755250232815,-0.004200206475728368,0.3712374581939799,DIAGNOSTIC_ONLY
HMPRO,close_gt_sma50,897,0.2753623188405797,0.16902881178515053,-0.004200206475728368,0.3712374581939799,DIAGNOSTIC_ONLY
HMPRO,sma20_gt_sma50,897,0.2709030100334448,-0.024474201234161466,-0.004200206475728368,0.3712374581939799,DIAGNOSTIC_ONLY
HMPRO,volatility_20,878,0.017350226975026223,0.08144453797641646,-0.0038706093509595046,0.37471526195899774,DIAGNOSTIC_ONLY
HMPRO,volume_sma_20,879,31248652.44937429,0.057941957495803005,-0.0038583440362588194,0.37542662116040953,DIAGNOSTIC_ONLY
HMPRO,volume_ratio_20,879,1.0148143807077574,0.021865989583179913,-0.0038583440362588194,0.37542662116040953,DIAGNOSTIC_ONLY
IVL,momentum_20,878,-0.007651308175668129,0.21343716172716407,-0.0012717697709993077,0.43394077448747154,DIAGNOSTIC_ONLY
IVL,momentum_60,838,-0.019427599872924216,0.1148730988134841,-0.0004131186527979112,0.44630071599045346,DIAGNOSTIC_ONLY
IVL,momentum_120,778,-0.04309988766801423,0.043804645582148034,-0.00038253090668486614,0.4473007712082262,DIAGNOSTIC_ONLY
IVL,close_gt_sma20,897,0.42920847268673357,0.2651244177293474,-0.0010320217808084007,0.4358974358974359,DIAGNOSTIC_ONLY
IVL,close_gt_sma50,897,0.38684503901895206,0.1926830201398018,-0.0010320217808084007,0.4358974358974359,DIAGNOSTIC_ONLY
IVL,sma20_gt_sma50,897,0.4180602006688963,0.0257921165389884,-0.0010320217808084007,0.4358974358974359,DIAGNOSTIC_ONLY
IVL,volatility_20,878,0.023506381853913832,0.1234418276797689,-0.0012717697709993077,0.43394077448747154,DIAGNOSTIC_ONLY
IVL,volume_sma_20,879,20527844.080773607,0.10207343805423373,-0.0012772489887219699,0.4334470989761092,DIAGNOSTIC_ONLY
IVL,volume_ratio_20,879,1.0175590365956104,0.026266668751722844,-0.0012772489887219699,0.4334470989761092,DIAGNOSTIC_ONLY
KKP,momentum_20,273,0.06473357156305103,0.18624300645900285,0.014488284139821544,0.6117216117216118,DIAGNOSTIC_ONLY
KKP,momentum_60,233,0.19268893578397775,0.12227627329359807,0.01567951958374413,0.6394849785407726,DIAGNOSTIC_ONLY
KKP,momentum_120,173,0.3733067280362463,0.113473702521584,0.01699535013533799,0.6473988439306358,DIAGNOSTIC_ONLY
KKP,close_gt_sma20,292,0.7294520547945206,0.1618384325304565,0.016365110733736046,0.6301369863013698,DIAGNOSTIC_ONLY
KKP,close_gt_sma50,292,0.8253424657534246,-0.019698769123536818,0.016365110733736046,0.6301369863013698,DIAGNOSTIC_ONLY
KKP,sma20_gt_sma50,292,0.8356164383561644,-0.04892789953066931,0.016365110733736046,0.6301369863013698,DIAGNOSTIC_ONLY
KKP,volatility_20,273,0.014701815556544762,-0.008818226958737135,0.014488284139821544,0.6117216117216118,DIAGNOSTIC_ONLY
KKP,volume_sma_20,274,5075194.270072993,-0.002283160653518618,0.014553247657218618,0.6131386861313869,DIAGNOSTIC_ONLY
