date,symbol,momentum_20,rank,selected_by_design_c,candidate_count,forward_return_1d,forward_return_3d,forward_return_5d,forward_return_10d,forward_return_20d
2024-05-14,MTC,0.010869565217391353,6,True,7,0.0,0.0,-0.016129032258064502,-0.032258064516129004,-0.053763440860215006
2024-05-14,COM7,0.010471144062638604,7,True,7,-0.010362635414346344,-0.015544002534698453,0.010362734240704219,-0.0673574760855038,-0.10880821539560492
2024-05-17,MTC,0.06896551724137923,1,True,8,0.0,-0.016129032258064502,-0.016129032258064502,-0.08064516129032262,-0.06451612903225812
2024-05-17,OSP,0.06435639544358973,2,True,8,0.0,0.013953452886537043,0.004651180533475685,0.06976744186046502,0.032558175020439784
2024-05-17,SCGP,0.055118110236220375,3,True,8,0.0,0.00746268656716409,0.0,0.03731343283582089,-0.014925373134328401
2024-05-17,BDMS,0.054054054054053946,4,True,8,0.0,-0.017094017094017144,-0.017094017094017144,-0.06837606837606836,-0.07692307692307687
2024-05-17,KTB,0.04938266662867674,5,True,8,0.0,0.0,0.0,0.005882375380572125,0.02941176470588225
2024-05-17,RATCH,0.00877192982456143,6,True,8,0.0,-0.008695652173912993,-0.008695652173912993,-0.017391304347826098,-0.09565217391304348
2024-05-17,GLOBAL,0.005988099813184489,7,True,8,0.0,0.0,0.011904728427184263,-0.029761973900380045,-0.09523813308231333
2024-05-17,COM7,0.005291025581380282,8,True,8,0.0,0.015789433529502572,0.015789433529502572,-0.11578951383891856,-0.1210525914242393
2024-05-23,COM7,0.07821227085842941,1,True,7,0.0,-0.06217610896515169,-0.0673574760855038,-0.11917094963630914,-0.10362694710161069
2024-05-23,OSP,0.07389162839284924,2,True,7,-0.00917425975184516,-0.018348606996749783,0.04587156123840486,0.059633082105762014,0.05504590848330948
2024-05-23,SCGP,0.0546875,3,True,7,-0.014814814814814836,0.014814814814814836,0.014814814814814836,0.0,-0.007407407407407418
2024-05-23,GLOBAL,0.05000005456117651,4,True,7,0.017857062074292607,-0.005952455913043608,-0.005952455913043608,-0.0357143075474885,-0.08333334352216137
2024-05-23,RATCH,0.036363636363636376,5,True,7,0.0,0.0,0.01754385964912286,-0.02631578947368418,-0.052631578947368474
2024-05-23,IVL,0.0336134945400941,6,True,7,-0.012195168282808644,-0.028455315125390568,-0.03658534977943373,-0.13821136446369198,-0.17886177033739525
2024-05-23,KTB,0.024096362008327654,7,True,7,0.0,0.005882375380572125,0.0,0.04117651546702672,0.0
2024-05-28,SCGP,0.05384615384615388,1,True,3,0.0,-0.029197080291970767,0.021897810218978186,-0.014598540145985384,0.0
2024-05-28,KTB,0.04268297434278745,2,True,3,-0.011695950788175535,-0.005847975394087768,0.005847975394087879,0.017543814641410194,0.005847975394087879
2024-05-28,GLOBAL,0.030864143134541555,3,True,3,0.005988099813184489,-0.005988038314146404,-0.005988038314146404,-0.05389222182924347,-0.09580836703019358
2024-05-31,OSP,0.06046508079351387,1,True,5,0.008771963580347819,0.021929825295224914,0.017543927160695638,-0.0263157234297543,0.03508777066574664
2024-05-31,GLOBAL,0.024691289148772277,2,True,5,-0.01807227089393848,-0.006024049051636338,-0.030120430866725778,-0.09638552726035798,-0.10843368723314539
2024-05-31,SCGP,0.023076923076922995,3,True,5,0.04511278195488733,0.015037593984962516,0.007518796992481258,-0.007518796992481258,0.007518796992481258
2024-05-31,KTB,0.011904807858458266,4,True,5,0.005882375380572125,0.01176475076114425,0.04117651546702672,0.02941176470588225,0.005882375380572125
2024-05-31,RATCH,0.008695652173912993,5,True,5,-0.025862068965517238,-0.0431034482758621,-0.06896551724137934,-0.10344827586206895,-0.08620689655172409
2024-06-06,OSP,0.10426534672117294,1,True,3,-0.008583642151914983,-0.0042917801457279525,-0.03433473232857809,-0.04291845634095204,-0.0042917801457279525
2024-06-06,SCGP,0.0546875,2,True,3,0.0,-0.007407407407407418,-0.007407407407407418,0.0,-0.051851851851851816
2024-06-06,KTB,0.023809615716916754,3,True,3,0.02906976615241441,0.017441815334505728,0.017441815334505728,-0.011627950817908794,0.02325579074346007
2024-06-11,OSP,0.11538469297646348,1,True,3,-0.008620722256998503,-0.0431034468583914,-0.0431034468583914,0.0,0.008620640043698113
2024-06-11,SCGP,0.08064516129032251,2,True,3,0.00746268656716409,-0.007462686567164201,-0.014925373134328401,0.02238805970149249,-0.05970149253731338
2024-06-11,KTB,0.04166671397194244,3,True,3,-0.00571430751255575,0.0114286150251115,0.0,-0.01714281354631697,0.0114286150251115
2024-06-14,KTB,0.04733734689153524,1,True,1,-0.011299477645120626,-0.011299477645120626,-0.03954806399811717,-0.03389832517555691,-0.011299477645120626
2024-06-19,KTB,0.02941176470588225,1,True,2,-0.02857142857142858,-0.01714281354631697,-0.01714281354631697,-0.00571430751255575,-0.00571430751255575
2024-06-19,SCGP,0.014925373134328401,2,True,2,-0.007352941176470562,0.0,0.007352941176470562,-0.02941176470588236,-0.1470588235294118
2024-06-24,OSP,0.07870364933184071,1,True,3,-0.0042917801457279525,-0.0042917801457279525,0.01287558601856098,0.01287558601856098,0.025751090176663105
2024-06-24,TOP,0.06030150753768848,2,True,3,0.0,0.004739336492890933,0.004739336492890933,0.05213270142180093,-0.014218009478673022
2024-06-24,SCGP,0.022556390977443552,3,True,3,0.007352941176470562,-0.014705882352941124,-0.014705882352941124,-0.07352941176470584,-0.19117647058823528
2024-06-27,OSP,0.04035881420045917,1,True,2,-0.008620722256998503,0.004310278915198751,0.0,-0.008620722256998503,0.012931001172197254
2024-06-27,TOP,0.00952380952380949,2,True,2,0.0,0.0,0.037735849056603765,0.04716981132075482,-0.05660377358490565
2024-07-02,TOP,0.03921568627450989,1,True,2,0.04716981132075482,0.05188679245283012,0.04716981132075482,-0.009433962264150941,-0.028301886792452824
2024-07-02,OSP,0.0130434450895891,2,True,2,0.0042918620061871415,0.0042918620061871415,0.0042918620061871415,0.034334814189037166,0.021459228170475964
