date,equity,positions,cash
2024-06-11,7197112.142590329637367653998,3,4095716.306832120414710653998
2024-06-12,7189384.084690854520176653998,3,4095716.306832120414710653998
2024-06-13,7164303.806832120414710653998,3,4095716.306832120414710653998
2024-06-14,7154401.586872861368393653998,3,4095716.306832120414710653998
2024-06-17,7135343.142590329637367653998,3,4095716.306832120414710653998
2024-06-18,7135343.142590329637367653998,3,4095716.306832120414710653998
2024-06-19,7165143.142590329637367653998,3,4095716.306832120414710653998
2024-06-20,7131603.193284921074984651429,2,5139139.193284921074984651429
2024-06-21,7124153.193284921074984651429,2,5139139.193284921074984651429
2024-06-24,7116457.832454141856942423762,1,6113416.582454141856942423762
2024-06-25,7116457.832454141856942423762,1,6113416.582454141856942423762
2024-06-26,7116457.832454141856942423762,1,6113416.582454141856942423762
2024-06-27,7115249.918406407767443364246,2,5113427.685717503964205364246
2024-06-28,7106680.685717503964205364246,2,5113427.685717503964205364246
2024-07-01,7132388.302061955887247364246,2,5113427.685717503964205364246
2024-07-02,7119534.453028600160967364246,2,5113427.685717503964205364246
2024-07-03,7171356.569373052212547364246,2,5113427.685717503964205364246
2024-07-04,7153279.918406407767443364246,2,5113427.685717503964205364246
2024-07-05,7149999.211063694692716413495,2,5097237.739548039150462413495
2024-07-08,7150885.682579350178568413495,2,5097237.739548039150462413495
2024-07-09,7140748.416225159425945413495,3,4097257.089330399150462413495
2024-07-10,7104933.559277645409561413495,4,3097282.048520199150462413495
2024-07-11,7102113.548520199150462413495,4,3097282.048520199150462413495
2024-07-12,7114803.816247097349109413495,4,3097282.048520199150462413495
2024-07-15,7114803.816247097349109413495,4,3097282.048520199150462413495
2024-07-16,7060230.999193258910216147843,6,1077107.043796606676462147843
2024-07-17,7051357.165342398320059147843,6,1077107.043796606676462147843
2024-07-18,7131727.234634466777193147843,6,1077107.043796606676462147843
2024-07-19,7046194.906394448682533759017,5,2064432.278896775616752759017
2024-07-23,6972748.904139736264664759017,6,1064451.478427150616752759017
2024-07-24,6942753.714870423819230276358,5,2022757.681808442580140276358
2024-07-25,6880545.506557561906071276358,6,1022775.128398992580140276358
2024-07-26,6919727.127428051190750529952,7,22785.8922977410780085299516
2024-07-30,6894624.504381176095710529952,7,22785.8922977410780085299516
2024-07-31,6854600.422901610090775529952,6,975695.4059090410780085299516
2024-08-01,6862677.668343653130939529952,5,1926605.284360041078008529952
2024-08-02,6835390.501128305871015529952,5,1926605.284360041078008529952
2024-08-05,6596146.399009605184639339995,5,1828870.619279761892748339995
2024-08-06,6645959.095357678261287953412,3,3716564.815711758430570953412
2024-08-07,6643731.952956853754100745234,1,5627681.869882283893887745234
2024-08-08,6643731.952956853754100745234,1,5627681.869882283893887745234
2024-08-09,6624307.315212908893887745234,2,4627698.565212908893887745234
2024-08-13,6540006.232138339211150745234,2,4627698.565212908893887745234
2024-08-14,6496988.893330967892396613054,3,3627715.089332020566779613054
2024-08-15,6491038.923052470922488441235,2,4526892.702128093457084441235
2024-08-16,6462380.611243520922488441235,3,3526905.140319143457084441235
2024-08-19,6462380.611243520922488441235,3,3526905.140319143457084441235
2024-08-20,6439620.913490573333040441235,3,3469702.471641818457084441235
2024-08-21,6481011.529793063581128441235,3,3469702.471641818457084441235
2024-08-22,6486588.529793063581128441235,3,3469702.471641818457084441235
2024-08-23,6526336.034364568703725953330,5,1469726.617383825281920953330
2024-08-26,6528559.379817831035977953330,5,1469726.617383825281920953330
2024-08-27,6526402.008554326984159953330,5,1469726.617383825281920953330
2024-08-28,6469036.031848151571283953330,6,469730.741631705281920953330
2024-08-29,6420174.433480460157876953330,6,469730.741631705281920953330
2024-08-30,6370117.646285679759683831460,5,1439433.018195774997071831460
2024-09-02,6370117.646285679759683831460,5,1439433.018195774997071831460
2024-09-03,6375694.646285679759683831460,5,1439433.018195774997071831460
2024-09-04,6392425.646285679759683831460,5,1439433.018195774997071831460
2024-09-05,6610340.787926339210922328312,6,439443.184386872348394328312
2024-09-06,6865022.828883790086593328312,6,439443.184386872348394328312
2024-09-09,6865022.828883790086593328312,6,439443.184386872348394328312
2024-09-10,6918049.926097535158692328312,6,439443.184386872348394328312
2024-09-11,6889908.600021981118873328312,6,439443.184386872348394328312
2024-09-12,6926827.432552002948256328312,6,439443.184386872348394328312
2024-09-13,6934564.682552002948256328312,6,439443.184386872348394328312
2024-09-16,7005788.705267571591476328312,6,439443.184386872348394328312
2024-09-17,7002938.367946290034648328312,6,439443.184386872348394328312
2024-09-18,6988559.367989205367693328312,6,439443.184386872348394328312
2024-09-19,6989259.728111886090557328312,6,439443.184386872348394328312
2024-09-20,7032399.932552002948256328312,6,439443.184386872348394328312
2024-09-23,7041348.879776620091289328312,6,439443.184386872348394328312
2024-09-24,7010525.508850716840882328312,6,439443.184386872348394328312
2024-09-25,6988167.153519295818342328312,6,439443.184386872348394328312
2024-09-26,6996749.059837960243649328312,6,439443.184386872348394328312
2024-09-27,7016705.059795044910604328312,6,439443.184386872348394328312
2024-09-30,6962048.356253289209240328312,6,439443.184386872348394328312
2024-10-01,7037383.013278985215466328312,5,1541834.161531472348394328312
2024-10-02,7001401.939062694600142320868,6,541855.5459409750469763208678
2024-10-03,6908555.091399768642162320868,6,541855.5459409750469763208678
2024-10-04,6877354.653033832275951320868,6,541855.5459409750469763208678
2024-10-07,6907562.344013904580846320868,6,677710.840445255046976320868
2024-10-08,6907520.160850258531348313424,6,604925.368403168185474313424
2024-10-09,6864826.254696579471698313424,6,604925.368403168185474313424
2024-10-10,6887755.547600836869021313424,4,2537127.999228568185474313424
2024-10-11,6877023.165291876933546313424,4,2537127.999228568185474313424
2024-10-15,6851291.940687270464595313424,4,2537127.999228568185474313424
2024-10-16,6857943.963445754297586313424,4,2537127.999228568185474313424
2024-10-17,6941085.698235937844214313424,3,3560649.691832968185474313424
2024-10-18,6921561.305367895567070313424,3,3560649.691832968185474313424
2024-10-21,6915161.725578278342275259043,5,1560683.364835709158485259043
2024-10-22,6853405.449845284156991259043,5,1560683.364835709158485259043
2024-10-24,6792939.546181649028548259043,5,1560683.364835709158485259043
2024-10-25,6796085.163769263780293701522,5,1498964.043874282144639701522
2024-10-28,6777082.485633585130094036937,2,4750831.985633585130094036937
2024-10-29,6737545.485633585130094036937,2,4750831.985633585130094036937
2024-10-30,6709217.735633585130094036937,2,4750831.985633585130094036937
2024-10-31,6748423.485633585130094036937,2,4750831.985633585130094036937
2024-11-01,6732141.879078885130094036937,1,5714064.129078885130094036937
2024-11-04,6732141.879078885130094036937,1,5714064.129078885130094036937
2024-11-05,6751910.379078885130094036937,1,5714064.129078885130094036937
2024-11-06,6712373.379078885130094036937,1,5714064.129078885130094036937
2024-11-07,6761794.629078885130094036937,1,5714064.129078885130094036937
2024-11-08,6742026.129078885130094036937,1,5714064.129078885130094036937
2024-11-11,6732141.879078885130094036937,1,5714064.129078885130094036937
2024-11-12,6761794.629078885130094036937,1,5714064.129078885130094036937
2024-11-13,6742026.129078885130094036937,1,5714064.129078885130094036937
2024-11-14,6742026.129078885130094036937,1,5714064.129078885130094036937
2024-11-15,6722257.629078885130094036937,1,5714064.129078885130094036937
2024-11-18,6722257.629078885130094036937,1,5714064.129078885130094036937
2024-11-19,6720563.964818235130094036937,0,6720563.964818235130094036937
2024-11-20,6720563.964818235130094036937,0,6720563.964818235130094036937
2024-11-21,6705837.442906910130094036937,1,5720600.192906910130094036937
2024-11-22,6712362.192906910130094036937,1,5720600.192906910130094036937
2024-11-25,6681491.396482494469883036937,3,3720619.760385540130094036937
2024-11-26,6651225.593197751331886596735,4,2720625.467957425543931596735
2024-11-27,6636050.946121373539632596735,3,3688521.014169850543931596735
2024-11-28,6632104.252832570416187596735,3,3688521.014169850543931596735
2024-11-29,6653495.462886967902706596735,3,3688521.014169850543931596735
2024-12-02,6633777.907406322654093036937,2,4639629.339357845460542036937
2024-12-03,6635571.339357845460542036937,2,4639629.339357845460542036937
2024-12-04,6605641.927598371039603596735,3,3639635.046929730874379596735
2024-12-06,6608696.203576723233154596735,4,2639659.254859605874379596735
2024-12-09,6565819.567793713195674596735,5,1639698.738407955874379596735
2024-12-11,6600545.556456433067930596735,5,1639698.738407955874379596735
2024-12-12,6535942.767683026039603596735,6,639717.387014385874379596735
2024-12-13,6530549.387014385874379596735,6,639717.387014385874379596735
2024-12-16,6492870.193328736993525596735,5,1545134.068088410874379596735
2024-12-17,6454886.055629456667525118625,4,2527591.243009293506600118625
2024-12-18,6396783.575276765616761558827,4,2478712.507228288423210558827
2024-12-19,6313617.285489515616761558827,3,3421253.967441038423210558827
2024-12-20,6297590.686779461418911558827,2,4352755.504827938423210558827
2024-12-23,6321247.186779461418911558827,2,4352755.504827938423210558827
2024-12-24,6311917.186779461418911558827,2,4352755.504827938423210558827
2024-12-25,6314971.462441427776519933141,3,3352768.962441427776519933141
2024-12-26,6296487.463112814495159933141,3,3352768.962441427776519933141
2024-12-27,6287112.915915472591219933141,3,3352768.962441427776519933141
2024-12-30,6269814.847618331566417701346,1,5276241.847618331566417701346
2025-01-02,6269814.847618331566417701346,1,5276241.847618331566417701346
2025-01-03,6272595.766490531566417701346,2,4276242.766490531566417701346
2025-01-06,6226901.791208958759968701346,3,3276266.223160481566417701346
2025-01-07,6261623.172129369040901701346,3,3276266.223160481566417701346
2025-01-08,6254294.676936027226628701346,2,4253347.063032981566417701346
2025-01-09,6212194.666434165805937701346,2,4253347.063032981566417701346
2025-01-10,6213086.269835349729365701346,2,4253347.063032981566417701346
2025-01-13,6192722.848385688612386701346,2,4253347.063032981566417701346
2025-01-14,6154325.848385688612386701346,2,4253347.063032981566417701346
2025-01-15,6194506.128424522083047701346,2,4253347.063032981566417701346
2025-01-16,6200128.959631797669737701346,2,4253347.063032981566417701346
2025-01-17,6178723.931971840133242559852,3,3253360.266749672128087559852
2025-01-20,6166268.784459404346445559852,3,3253360.266749672128087559852
2025-01-21,6206315.701358131611457559852,3,3253360.266749672128087559852
2025-01-22,6203405.145638756013049559852,3,3253360.266749672128087559852
2025-01-23,6170012.781735710352838559852,3,3253360.266749672128087559852
2025-01-24,6166644.100480254137813701346,2,4221918.711726363121103701346
2025-01-27,6173496.959880120314654701346,1,5080566.641831643121103701346
2025-01-28,6173496.959880120314654701346,1,5080566.641831643121103701346
2025-01-29,6187690.823783166116804701346,1,5080566.641831643121103701346
2025-01-30,6187690.823783166116804701346,1,5080566.641831643121103701346
2025-01-31,6164034.323783166116804701346,1,5080566.641831643121103701346
2025-02-03,6164034.323783166116804701346,1,5080566.641831643121103701346
2025-02-04,6182959.505734688781314701346,1,5080566.641831643121103701346
2025-02-05,6187690.823783166116804701346,1,5080566.641831643121103701346
2025-02-06,6192422.141831643121103701346,1,5080566.641831643121103701346
2025-02-07,6206616.005734688781314701346,1,5080566.641831643121103701346
2025-02-10,6201884.777928597460892701346,1,5080566.641831643121103701346
2025-02-11,6182959.505734688781314701346,1,5080566.641831643121103701346
2025-02-13,6182959.505734688781314701346,1,5080566.641831643121103701346
2025-02-14,6159303.005734688781314701346,1,5080566.641831643121103701346
2025-02-17,6173496.959880120314654701346,1,5080566.641831643121103701346
2025-02-18,6206616.005734688781314701346,1,5080566.641831643121103701346
2025-02-19,6231935.041312368121103701346,3,3080605.291312368121103701346
2025-02-20,6194925.223263891116804701346,3,3080605.291312368121103701346
2025-02-21,6176078.344039368121103701346,2,4042257.094039368121103701346
2025-02-24,6162379.912087845314654701346,2,4042257.094039368121103701346
2025-02-25,6112589.662087845314654701346,2,4042257.094039368121103701346
2025-02-26,6129756.207942413781314701346,2,4042257.094039368121103701346
2025-02-27,6117993.936835563054910112887,1,5114457.936835563054910112887
2025-02-28,6097086.936835563054910112887,1,5114457.936835563054910112887
2025-03-03,6099951.321245065753492105443,2,4114479.321245065753492105443
2025-03-04,6070861.490030160973450105443,2,4114479.321245065753492105443
2025-03-05,6086541.740030160973450105443,2,4114479.321245065753492105443
2025-03-06,6034724.240030160973450105443,2,4114479.321245065753492105443
2025-03-07,6063814.071245065753492105443,2,4114479.321245065753492105443
2025-03-10,5988133.490030160973450105443,2,4114479.321245065753492105443
2025-03-11,6040906.102447725794027480487,3,3114481.830419756269687480487
2025-03-12,6008733.374151582820891480487,2,4053716.355301256269687480487
2025-03-13,5961771.766634814246098480487,3,3053730.045592181269687480487
2025-03-14,6036018.045592181269687480487,3,3053730.045592181269687480487
2025-03-17,6034317.839106433076973480487,3,3053730.045592181269687480487
2025-03-18,5999322.005209454380807007724,5,1053755.285231121646247007724
2025-03-19,5985614.236497364881903007724,4,2070122.766418896646247007724
2025-03-20,5965604.261024817074792060031,3,3060294.353411062569070060031
2025-03-21,5913183.291340509161591290080,2,4061161.799334207189089290080
