SET Symbol,Yahoo Ticker,Status,Yahoo Name,Exchange,First Data,Last Data,Evidence,Notes
BTS,BTS.BK,VERIFIED,BTS Group Holdings Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/BTS.BK?range=1d&interval=1d,Metadata identity matched; source company: BTS GROUP HOLDINGS PUBLIC COMPANY LIMITED.
CBG,CBG.BK,VERIFIED,Carabao Group Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/CBG.BK?range=1d&interval=1d,Metadata identity matched; source company: CARABAO GROUP PUBLIC COMPANY LIMITED.
CCET,CCET.BK,VERIFIED,Cal-Comp Electronics (Thailand) Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/CCET.BK?range=1d&interval=1d,"Metadata identity matched; source company: CAL-COMP ELECTRONICS (THAILAND) PUBLIC CO., LTD.."
CENTEL,CENTEL.BK,VERIFIED,Central Plaza Hotel Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/CENTEL.BK?range=1d&interval=1d,Metadata identity matched; source company: CENTRAL PLAZA HOTEL PUBLIC COMPANY LIMITED.
COM7,COM7.BK,VERIFIED,Com7 Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/COM7.BK?range=1d&interval=1d,Metadata identity matched; source company: COM7 PUBLIC COMPANY LIMITED.
CPALL,CPALL.BK,VERIFIED,CP ALL Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/CPALL.BK?range=1d&interval=1d,Metadata identity matched; source company: CP ALL PUBLIC COMPANY LIMITED.
CPF,CPF.BK,VERIFIED,Charoen Pokphand Foods Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/CPF.BK?range=1d&interval=1d,Metadata identity matched; source company: CHAROEN POKPHAND FOODS PUBLIC COMPANY LIMITED.
CPN,CPN.BK,VERIFIED,Central Pattana Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/CPN.BK?range=1d&interval=1d,Metadata identity matched; source company: CENTRAL PATTANA PUBLIC COMPANY LIMITED.
CRC,CRC.BK,VERIFIED,Central Retail Corporation Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/CRC.BK?range=1d&interval=1d,Metadata identity matched; source company: CENTRAL RETAIL CORPORATION PUBLIC COMPANY LIMITED.
DELTA,DELTA.BK,VERIFIED,Delta Electronics (Thailand) Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/DELTA.BK?range=1d&interval=1d,Metadata identity matched; source company: DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED.
EA,EA.BK,VERIFIED,Energy Absolute Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/EA.BK?range=1d&interval=1d,Metadata identity matched; source company: ENERGY ABSOLUTE PUBLIC COMPANY LIMITED.
EGCO,EGCO.BK,VERIFIED,Electricity Generating Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/EGCO.BK?range=1d&interval=1d,Metadata identity matched; source company: ELECTRICITY GENERATING PUBLIC COMPANY LIMITED.
GLOBAL,GLOBAL.BK,VERIFIED,Siam Global House Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/GLOBAL.BK?range=1d&interval=1d,Metadata identity matched; source company: CHEMICAL PUBLIC COMPANY LIMITED.
GPSC,GPSC.BK,VERIFIED,Global Power Synergy Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/GPSC.BK?range=1d&interval=1d,Metadata identity matched; source company: GLOBAL POWER SYNERGY PUBLIC COMPANY LIMITED.
GULF,GULF.BK,VERIFIED,Gulf Development Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/GULF.BK?range=1d&interval=1d,Metadata identity matched; source company: GULF ENERGY DEVELOPMENT PUBLIC COMPANY LIMITED.
HMPRO,HMPRO.BK,VERIFIED,Home Product Center Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/HMPRO.BK?range=1d&interval=1d,Metadata identity matched; source company: HOME PRODUCT CENTER PUBLIC COMPANY LIMITED.
INTUCH,INTUCH.BK,NOT_FOUND,,,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/INTUCH.BK?range=1d&interval=1d,INTUCH was combined into Gulf Development Public Company Limited (GULF) effective 2025-04-01. Yahoo metadata returned HTTP 404 for INTUCH.BK. Retain INTUCH for pre-merger historical review; use GULF as the post-merger security without silently rewriting history.
ITC,ITC.BK,VERIFIED,i-Tail Corporation Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/ITC.BK?range=1d&interval=1d,Metadata identity matched; source company: i-Tail Corporation Public Company Limited.
IVL,IVL.BK,VERIFIED,Indorama Ventures Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/IVL.BK?range=1d&interval=1d,Metadata identity matched; source company: INDORAMA VENTURES PUBLIC COMPANY LIMITED.
JMART,JMART.BK,VERIFIED,Jaymart Group Holdings Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/JMART.BK?range=1d&interval=1d,"Metadata identity matched; source company: JAY MART PUBLIC COMPANY LIMITED Information & Communication Technology SET50 Inclusion: SAWAD, TRUE 28 JMT JMT NETWORK SERVICES PUBLIC COMPANY LIMITED Finance and Securities SET50 Exclusion: DTAC, TRUEE 29 KBANK KASIKORNBANK PUBLIC COMPANY LIMITED."
JMT,JMT.BK,VERIFIED,JMT Network Services Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/JMT.BK?range=1d&interval=1d,"Metadata identity matched; source company: JMT NETWORK SERVICES PUBLIC COMPANY LIMITED Finance and Securities SET50 Exclusion: DTAC, TRUEE 29 KBANK KASIKORNBANK PUBLIC COMPANY LIMITED."
KBANK,KBANK.BK,VERIFIED,Kasikornbank Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/KBANK.BK?range=1d&interval=1d,Metadata identity matched; source company: KASIKORNBANK PUBLIC COMPANY LIMITED.
KCE,KCE.BK,VERIFIED,KCE Electronics Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/KCE.BK?range=1d&interval=1d,Metadata identity matched; source company: KCE ELECTRONICS PUBLIC COMPANY LIMITED.
KKP,KKP.BK,VERIFIED,Kiatnakin Phatra Bank Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/KKP.BK?range=1d&interval=1d,Metadata identity matched; source company: KIATNAKIN PHATRA BANK PUBLIC COMPANY LIMITED.
KTB,KTB.BK,VERIFIED,Krung Thai Bank Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/KTB.BK?range=1d&interval=1d,Metadata identity matched; source company: KRUNG THAI BANK PUBLIC COMPANY LIMITED.
KTC,KTC.BK,VERIFIED,Krungthai Card Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/KTC.BK?range=1d&interval=1d,Metadata identity matched; source company: KRUNGTHAI CARD PUBLIC COMPANY LIMITED.
LH,LH.BK,VERIFIED,Land and Houses Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/LH.BK?range=1d&interval=1d,Metadata identity matched; source company: LAND AND HOUSES PUBLIC COMPANY LIMITED.
MINT,MINT.BK,VERIFIED,Minor International Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/MINT.BK?range=1d&interval=1d,Metadata identity matched; source company: MINOR INTERNATIONAL PUBLIC COMPANY LIMITED.
MRDIYT,MRDIYT.BK,VERIFIED,MR. D.I.Y. Holding (Thailand) Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/MRDIYT.BK?range=1d&interval=1d,Metadata identity matched; source company: MR. D.I.Y. HOLDING (THAILAND) PUBLIC COMPANY LIMITED.
MTC,MTC.BK,VERIFIED,Muangthai Capital Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/MTC.BK?range=1d&interval=1d,Metadata identity matched; source company: MUANGTHAI CAPITAL PUBLIC COMPANY LIMITED.
OR,OR.BK,VERIFIED,PTT Oil and Retail Business Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/OR.BK?range=1d&interval=1d,Metadata identity matched; source company: PTT OIL AND RETAIL BUSINESS PUBLIC COMPANY LIMITED.
OSP,OSP.BK,VERIFIED,Osotspa Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/OSP.BK?range=1d&interval=1d,Metadata identity matched; source company: OSOTSPA PUBLIC COMPANY LIMITED.
PTT,PTT.BK,VERIFIED,PTT Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/PTT.BK?range=1d&interval=1d,Metadata identity matched; source company: OIL AND RETAIL BUSINESS PUBLIC COMPANY LIMITED.
PTTEP,PTTEP.BK,VERIFIED,PTT Exploration and Production Public Company Limited,Thailand,NOT_QUERIED_PRE_GATE,NOT_QUERIED_PRE_GATE,https://query1.finance.yahoo.com/v8/finance/chart/PTTEP.BK?range=1d&interval=1d,Metadata identity matched; source company: PTT EXPLORATION AND PRODUCTION PUBLIC COMPANY LIMITED.
